ticker,Расширение,Ложный пробой,Колено,2xEXTR,Не на уровне,От плотности,Контр тренд,Треугольник,50%,Datetime,PNL,filenames
ETH,0,0,-1,-1,0,1,0,0,0,-1,NA,"['ETH_15_a1ab26675ee238ec43400e40c7bf73b6.png', 'ETH_3_f6692b7af961b158cd8b00f218e1d0dd.png']"
ETH,0,0,-1,-1,0,1,0,0,0,-1,NA,"['ETH_15_60c10b1be2ee843fd89dcac67b313f21.png', 'ETH_3_bf66c1b88ae9ed124e0a72a44cb99281.png']"
ETH,0,1,-1,-1,0,0,0,1,0,-1,NA,"['ETH_15_d43bf168f8c0a10f4da235fa29a16a27.png', 'ETH_3_992c4604e9213dd31ad89f196559b30c.png']"
ETH,0,1,-1,-1,0,0,1,0,0,-1,NA,"['ETH_15_c857676796c4c26f0fee3b10968ef73d.png', 'ETH_3_746769953a4355f0a0ed1fd028f2ad0a.png']"
ETH,1,0,-1,-1,0,0,1,0,0,-1,NA,"['ETH_15_1924f30ce7b10d7e9afe9a7f57ed2bf2.png', 'ETH_3_d8067d6de2c641a657e7a8155bf23e7c.png']"
ETH,0,1,-1,-1,0,0,0,1,0,-1,NA,"['ETH_15_0494d464f9b4f11d656f3c102ad460f7.png', 'ETH_3_2ba509d4172a7d1016622fb64933e865.png']"
ETH,1,0,-1,-1,0,0,0,0,0,-1,NA,"['ETH_15_16186ca6a378b5295457890945f4d9a0.png', 'ETH_3_2d5951c50d54c85d68c323fde194fc5a.png']"
ETH,0,0,-1,-1,0,1,0,1,1,-1,NA,"['ETH_15_8ff3a766f6ccb0a2bd6b87dd411b287d.png', 'ETH_3_8417d4d4479c7385accb1074d8f23819.png']"
ETH,0,1,-1,-1,0,0,1,0,0,-1,NA,"['ETH_15_6705ab0de5d4bcbfed2f27daae36c429.png', 'ETH_3_ec1caa4a795ababbe4142057ce5e0aab.png']"
ETH,1,0,-1,-1,0,1,1,0,0,-1,NA,"['ETH_15_6f1eaf85e82131067854611870fa49f1.png', 'ETH_3_b1fa730002de0fb70a0f07587712c706.png']"
ETH,0,1,-1,-1,0,0,1,1,1,-1,NA,"['ETH_15_fbda060e50ccf504f83cbb220f12eeae.png', 'ETH_3_5a3ea94a369a264a195255ef394dd300.png']"
ETH,0,0,-1,-1,0,1,1,1,0,-1,NA,"['ETH_15_31f15bad4be181564184d186f332f0f2.png', 'ETH_3_bc7abb9dfb8f103d9cb43596681b8ad2.png']"
ETH,1,0,-1,-1,0,0,0,1,1,-1,NA,"['ETH_15_2df1e2055e8c8e5a313e07a333b74bd6.png', 'ETH_3_20ca2ab2c2757718f2eb834c58132f20.png']"
ETH,0,0,-1,-1,1,0,1,0,0,-1,NA,"['ETH_15_94938c173038745da07d61af57ba2ecd.png', 'ETH_3_62b30336231950fd0a8a725ed6b1636a.png']"
ETH,0,0,-1,-1,1,0,1,0,0,-1,NA,"['ETH_15_80b119f142cc21e1c162a0728c9901f8.png', 'ETH_3_047de74d54654a73e58e23108e4f956f.png']"
ETH,0,0,-1,-1,0,1,0,1,0,-1,NA,"['ETH_15_ad75eeed6f567c5bdd74801b8796e9cd.png', 'ETH_3_88cda383054236b41c2788d952fc6503.png']"
ETH,0,1,-1,-1,0,0,1,0,0,-1,NA,"['ETH_15_806f0a3d8e0f3f1806e8765faf69ff89.png', 'ETH_3_86d7ee2c62082bee6dd8a0dfd1c80b1f.png']"
ETH,0,0,-1,-1,0,0,1,0,1,-1,NA,"['ETH_15_0d88c2e9a17365953dd936276650473a.png', 'ETH_3_99cc9b6988847c804c66f89aadabce05.png']"
ETH,1,0,-1,-1,0,0,1,0,0,-1,NA,"['ETH_15_b400e317ee563cb20d5afdec9038d692.png', 'ETH_3_ead0d02a2870013f9ac8b1102ed363a1.png']"
ETH,0,0,-1,-1,0,1,0,0,0,-1,NA,"['ETH_15_df3cf86e6e3e89455ca9f1193f6625f1.png', 'ETH_3_722202c538beca53b04cae3249d4780f.png']"
ETH,0,1,-1,-1,0,0,0,0,1,-1,NA,"['ETH_15_76ec16838b4d6e030e0cdd4b0522a20c.png', 'ETH_3_2c389fec7ac491236c9b6ffd689fe449.png']"
ETH,0,1,-1,-1,0,0,1,0,0,-1,NA,"['ETH_15_18b0bd9d33ee91bdbaf614bab9d049e3.png', 'ETH_3_18946e125026b5ff49702e07d04a174b.png']"
ETH,0,1,-1,-1,0,0,0,0,1,-1,NA,"['ETH_15_f0b79a0a69e8dd62a80f81b3ec81da8a.png', 'ETH_3_880f6b43b8f9bc9e4b466c08f46d276d.png']"
ETH,1,1,-1,-1,0,0,0,0,0,-1,NA,"['ETH_15_88bd2845cca074e3a65df4fd2851e672.png', 'ETH_3_f5716e65d1a4383d050c5fd8970abde2.png']"
ETH,0,0,-1,-1,0,0,1,0,1,-1,NA,"['ETH_15_64831a10303c85284badca7587bdcc63.png', 'ETH_3_60cf947a8e0130e4f1f36f618ae85d24.png']"
